Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group
The Decline and Fall of the Roman Empire,Edward Gibbon,4.0,4.0,75.0,4.330733340286331,1338.0,"Here in a single volume is the entire, unabridged recording of Gibbon's masterpiece. Beginning in the second century at the apex of the Pax Romana, Gibbon traces the arc of decline and complete destruction through the centuries across Europe and the Mediterranean. It is a thrilling and cautionary tale of splendor and ruin, of faith and hubris, and of civilization and barbarism. Follow along as Christianity overcomes paganism... before itself coming under intense pressure from Islam. It is a story that begins in Rome and ends in the capture of Constantinople by the Turks almost 1,500 years later. To aid in navigating this massive work, please refer to the accompanying PDF, which contains a table of contents and starting times for each chapter.",Ancient & Classical Roman History | History of Civilization | Rome,",#4,414 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Ancient & Classical Roman History,#12 in History of Civilization,#74 in Rome",4414.0,126 hours and 31 minutes,7591.0,Advanced Only,1,1,1,the decline and fall of the roman empire,edward gibbon,51-200
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,4.4,4.4,344.0,5.84354441703136,401.0,This Audiobook contains the following works :,"Caribbean & Latin American Literature | English, Irish, Scottish & Welsh Literature | Classic Literature",",#1,485 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Caribbean & Latin American Literature,#6 in English, Irish, Scottish & Welsh Literature,#77 in Classic Literature",1485.0,102 hours and 19 minutes,6139.0,Both,1,1,1,10 masterpieces you have to read before you die 1,jane austen,201-500
50 Self-Help Classics to Guide You to Financial Freedom,Napoleon Hill,5.0,5.0,1.0,0.6931471805599453,32.0,This Audiobook contains the following works:,Money Management | Personal Development & Self-Help,",#948 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Money Management,#2,204 in Personal Development & Self-Help",948.0,95 hours and 1 minute,5701.0,Both,1,1,1,50 self-help classics to guide you to financial freedom,napoleon hill,0-50
Siri Guru Granth Sahib: The Complete Sikh Scriptures Read in English,SikhNet,,4.5,0.0,0.0,759.0,"The first complete audio recording in English of the spiritual text of the Sri Guru Granth Sahib with beautiful, soothing background music. This relaxing recording enables an English-speaking audience to understand and experience the spiritual wisdom of the Sikh faith.",Spirituality | Spirituality (Books),",#1,294 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#67 in Spirituality (Audible Audiobooks & Originals),#202 in Spirituality (Books)",1294.0,92 hours and 25 minutes,5545.0,Both,1,1,1,siri guru granth sahib: the complete sikh scriptures read in english,sikhnet,0-50
10 Essential Pieces of Literature,Khalil Gibran,,4.5,0.0,0.0,32.0,This Audiobook contains the following works:,Classic Literature | Classic Fiction (Books),",#759 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#40 in Classic Literature,#777 in Classic Fiction (Books)",759.0,87 hours and 44 minutes,5264.0,Both,1,1,1,10 essential pieces of literature,khalil gibran,0-50
"The Complete Novels : Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey and Persuasion",Jane Austen,4.5,4.5,828.0,6.720220155135295,1003.0,"“…narrating the novels of Jane Austen reminded me that no matter how much the world changes, human nature never does.” (Alison Larkin)","Regency Romance | Caribbean & Latin American Literature | English, Irish, Scottish & Welsh Literature",",#753 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Regency Romance,#3 in Caribbean & Latin American Literature,#3 in English, Irish, Scottish & Welsh Literature",753.0,81 hours and 2 minutes,4862.0,Both,1,1,1,"the complete novels : sense and sensibility, pride and prejudice, mansfield park, emma, northanger abbey and persuasion",jane austen,501-1000
The Holy Bible in Audio - King James Version: The Complete Old & New Testament,King James Version,4.4,4.4,994.0,6.902742737158593,1055.0,"The King James Version has continued to this day to be one of the most beloved and widely sought-after translations of the Bible into the English language. Now over 400 years old, the King James Version has been shaping Christians for centuries with its majesty and solemnity.",Bibles | Christianity (Books) | Textbooks & Study Guides,",#783 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Bibles,#109 in Christianity (Books),#8,161 in Textbooks & Study Guides",783.0,72 hours and 1 minute,4321.0,Both,1,1,1,the holy bible in audio - king james version: the complete old & new testament,king james version,501-1000
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,5.0,6.0,1.9459101490553128,3037.0,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel","Private Investigator Mysteries | Crime, Thriller & Mystery (Books)",",#15 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Private Investigator Mysteries,#14 in Crime, Thriller & Mystery (Books)",15.0,71 hours and 57 minutes,4317.0,Both,1,1,1,sherlock holmes: the definitive collection,arthur conan doyle,0-50
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,4.6,4.6,508.0,6.2324480165505225,2251.0,"Here in one recording is every Sherlock Holmes story ever written by Sir Arthur Conan Doyle. Originally appearing in serial form, these famous stories are here presented in the order in which they were first published beginning in 1887. Included in this definitive, awardwinning collection are four novels and 56 short stories, a total of 60 titles. The 56 short stories are aggregated into five named collections, just as they were originally published in book form. The contents of this recording are presented by date of publication as follows:A Study in Scarlett (novel – 1887) 4 hours, 45 minutesThe Sign of Four (novel – 1890) 4 hours, 39 minutesAdventures of Sherlock Holmes (12 short stories – 18911892) 10 hours, 52 minutesThe Memoirs of Sherlock Holmes (11 short stories – 18921893) 9 hours, 21 minutesThe Return of Sherlock Holmes (13 short stories – 19031904) 12 hours, 12 minutesThe Hound of the Baskervilles (novel – 19011902) 6 hours, 18 minutesThe Valley of Fear (novel – 19141915) 6 hours, 7 minutesHis Last Bow (8 short stories – 19081917) 7 hours, 30 minutesThe Case Book of Sherlock Holmes (12 short stories – 19211927) 9 hours",Literature Anthologies | Traditional Detective Mysteries | Anthologies (Books),",#181 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literature Anthologies,#1 in Traditional Detective Mysteries,#45 in Anthologies (Books)",181.0,70 hours and 48 minutes,4248.0,Both,1,1,1,the complete stories of sherlock holmes,arthur conan doyle,501-1000
The Sherlock Holmes Collection,Arthur Conan Doyle,4.3,4.3,1877.0,7.537962659768208,99.0,"Sherlock Holmes is a fictional detective of the late 19th and early 20th centuries, who first appeared in publication in 1887. He is the creation of Scottish born author and physician Sir Arthur Conan Doyle. A brilliant London-based detective, Holmes is famous for his intellectual prowess, and is renowned for his skillful use of deductive reasoning (somewhat mistakenly - see inductive reasoning) and astute observation to solve difficult cases. He is arguably the most famous fictional detective ever created, and is one of the best known and most universally recognizable literary characters in any genre.",Mystery Anthologies & Short Stories | Traditional Detective Mysteries | Short Stories (Books),",#1,540 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Mystery Anthologies & Short Stories,#9 in Traditional Detective Mysteries,#686 in Short Stories (Books)",1540.0,67 hours and 44 minutes,4064.0,Both,1,1,1,the sherlock holmes collection,arthur conan doyle,1001+
